ticker,time,open,close,high,low,volume
VNINDEX,2025-06-27,1365.67,1371.44,1373.28,1362.09,678584222
VNINDEX,2025-06-30,1371.44,1376.07,1377.3,1371.44,637621732
VNINDEX,2025-07-01,1376.07,1377.84,1382.16,1369.74,725894731
VNINDEX,2025-07-02,1377.84,1384.59,1384.72,1372.27,850174592
VNINDEX,2025-07-03,1384.59,1381.96,1392.39,1377.06,1316396602
VNINDEX,2025-07-04,1381.96,1386.97,1388.04,1379.4,835995342
MWG,2025-06-27,64.7,65.8,66.3,64.6,11074982
MWG,2025-06-30,66.2,65.5,66.3,65.4,5035793
MWG,2025-07-01,65.5,64.5,65.8,64.3,7115966
MWG,2025-07-02,64.5,64.8,65.1,64.3,5789872
MWG,2025-07-03,64.7,65.4,66.6,64.7,12688301
MWG,2025-07-04,65.9,66.3,66.5,65.5,6186262
FRT,2025-06-27,174.5,175.5,176.7,172.6,382692
FRT,2025-06-30,176.8,179.2,179.8,175.1,669134
FRT,2025-07-01,179.3,179.6,184.6,178.8,1061985
FRT,2025-07-02,179.6,181.0,181.0,178.1,241763
FRT,2025-07-03,182.5,186.0,186.9,180.1,803689
FRT,2025-07-04,186.1,188.4,190.0,185.2,513510
DGW,2025-06-27,46.0,44.8,46.1,44.7,2101354
DGW,2025-06-30,45.0,44.0,45.45,43.15,3650719
DGW,2025-07-01,44.35,43.8,44.5,43.2,1661213
DGW,2025-07-02,44.5,44.7,45.65,44.1,2779644
DGW,2025-07-03,44.3,43.75,44.35,42.1,3930197
DGW,2025-07-04,43.75,43.8,43.8,42.75,3318141
PET,2025-06-27,24.3,23.95,24.7,23.9,1193733
PET,2025-06-30,24.0,24.1,24.3,24.0,463664
PET,2025-07-01,24.25,23.95,24.55,23.7,864233
PET,2025-07-02,24.35,24.25,24.35,23.95,588662
PET,2025-07-03,24.3,24.2,25.0,23.8,1513529
PET,2025-07-04,24.45,24.8,25.6,24.15,2165041
AST,2025-06-27,65.8,64.6,65.8,64.3,8559
AST,2025-06-30,64.6,66.0,66.5,64.6,27507
AST,2025-07-01,66.0,66.0,66.0,65.7,18580
AST,2025-07-02,66.7,66.5,66.9,66.1,15019
AST,2025-07-03,68.3,66.0,68.3,64.8,17523
AST,2025-07-04,65.5,66.4,66.9,65.5,3451
DHT,2025-06-27,81.6,81.7,81.9,81.3,17912
DHT,2025-06-30,82.5,82.0,82.5,81.3,2008
DHT,2025-07-01,82.0,81.5,82.0,81.1,10700
DHT,2025-07-02,82.0,81.7,82.0,81.2,11808
DHT,2025-07-03,82.0,81.8,82.0,81.0,15900
DHT,2025-07-04,81.4,82.5,82.5,81.2,21800
