ticker,time,open,close,high,low,volume
VNINDEX,2025-04-04,1159.33,1210.67,1210.67,1158.17,1777882039
VNINDEX,2025-04-08,1173.14,1132.79,1174.4,1130.98,989102100
VNINDEX,2025-04-09,1073.61,1094.3,1141.35,1073.61,1464120095
VNINDEX,2025-04-10,1166.09,1168.34,1168.4,1165.86,215166632
VNINDEX,2025-04-11,1185.86,1222.46,1222.46,1180.59,1734906206
BVH,2025-04-04,45.15,45.15,48.5,45.15,2126177
BVH,2025-04-08,43.6,42.0,45.0,42.0,785689
BVH,2025-04-09,39.1,39.1,42.0,39.1,1657955
BVH,2025-04-10,41.8,41.8,41.8,41.8,56829
BVH,2025-04-11,44.2,44.0,44.2,42.7,1115800
PVI,2025-04-04,57.5,65.2,65.2,53.5,214460
PVI,2025-04-08,59.5,58.7,61.0,58.7,134145
PVI,2025-04-09,52.9,54.0,58.0,52.9,264891
PVI,2025-04-10,59.0,59.4,59.4,57.0,15658
PVI,2025-04-11,64.9,62.4,64.9,56.6,27400
VNR,2025-04-04,23.1,23.0,23.6,22.4,27018
VNR,2025-04-08,22.0,22.0,22.5,21.1,41198
VNR,2025-04-09,20.1,21.3,22.5,20.1,31689
VNR,2025-04-10,23.3,22.9,23.4,22.7,169345
VNR,2025-04-11,22.9,22.9,22.9,22.5,23000
BIC,2025-04-04,32.5,33.15,33.95,31.6,109808
BIC,2025-04-08,31.5,31.5,33.0,31.4,215218
BIC,2025-04-09,29.6,32.4,32.4,29.5,172317
BIC,2025-04-10,34.65,34.65,34.65,34.1,118577
BIC,2025-04-11,35.75,33.85,35.75,33.0,52000
MIG,2025-04-04,15.15,16.25,16.5,15.15,705646
MIG,2025-04-08,15.35,15.15,15.45,15.15,338084
MIG,2025-04-09,14.2,14.3,15.0,14.2,153478
MIG,2025-04-10,15.3,15.3,15.3,15.3,12039
MIG,2025-04-11,15.6,15.95,16.0,15.2,321400
BMI,2025-04-04,18.6,19.85,19.85,18.5,255449
BMI,2025-04-08,19.05,18.5,19.15,18.5,242280
BMI,2025-04-09,17.25,18.5,19.5,17.25,228515
BMI,2025-04-10,19.75,19.75,19.75,19.75,34431
BMI,2025-04-11,20.05,20.2,20.2,19.4,169400
ABI,2025-04-04,27.0,26.8,27.0,26.0,99016
ABI,2025-04-08,26.8,24.4,26.8,23.9,81766
ABI,2025-04-09,22.6,24.9,25.0,22.6,68404
ABI,2025-04-10,25.5,27.3,27.6,25.5,202539
ABI,2025-04-11,27.0,26.2,27.1,26.2,85800
