ticker,time,open,close,high,low,volume
VNINDEX,2025-04-04,1159.33,1210.67,1210.67,1158.17,1777882039
VNINDEX,2025-04-08,1173.14,1132.79,1174.4,1130.98,989102100
VNINDEX,2025-04-09,1073.61,1094.3,1141.35,1073.61,1464120095
VNINDEX,2025-04-10,1166.09,1168.34,1168.4,1165.86,215166632
VNINDEX,2025-04-11,1185.86,1222.46,1222.46,1180.59,1734906206
ACV,2025-04-04,84.8,86.5,87.3,74.5,644305
ACV,2025-04-08,86.5,80.8,86.6,80.1,626967
ACV,2025-04-09,82.1,86.5,91.7,78.1,961492
ACV,2025-04-10,91.0,96.6,96.6,91.0,279012
ACV,2025-04-11,99.0,94.5,100.0,91.0,1060000
VEA,2025-04-04,36.2,37.5,38.0,35.5,1686827
VEA,2025-04-08,36.9,35.7,37.5,35.6,1759454
VEA,2025-04-09,35.7,35.5,36.9,35.0,1419176
VEA,2025-04-10,39.0,40.7,41.4,38.0,3333665
VEA,2025-04-11,40.0,39.2,40.7,38.9,964100
GMD,2025-04-04,48.75,48.75,48.75,48.75,546378
GMD,2025-04-08,45.35,45.35,46.35,45.35,1289373
GMD,2025-04-09,42.2,42.2,42.2,42.2,686598
GMD,2025-04-10,45.15,45.15,45.15,45.15,1472071
GMD,2025-04-11,48.0,46.0,48.0,43.1,5775600
REE,2025-04-04,61.8,65.8,65.8,61.5,1821801
REE,2025-04-08,62.0,61.2,64.6,61.2,1463406
REE,2025-04-09,57.1,61.0,65.4,57.1,1871852
REE,2025-04-10,65.2,65.2,65.2,65.2,147713
REE,2025-04-11,66.0,67.5,67.7,64.5,1914900
GEX,2025-04-04,22.25,23.6,23.6,22.25,22661230
GEX,2025-04-08,22.6,21.95,22.95,21.95,12429506
GEX,2025-04-09,20.45,20.45,21.0,20.45,16643489
GEX,2025-04-10,21.85,21.85,21.85,21.85,656524
GEX,2025-04-11,22.0,22.85,22.95,21.25,22568400
GEE,2025-04-04,61.9,70.9,70.9,61.9,1545217
GEE,2025-04-08,66.0,66.0,68.0,66.0,418337
GEE,2025-04-09,61.4,61.4,64.4,61.4,1039235
GEE,2025-04-10,65.6,65.6,65.6,65.6,24463
GEE,2025-04-11,68.5,70.1,70.1,64.4,2478300
PVT,2025-04-04,21.45,21.5,21.7,21.45,5478692
PVT,2025-04-08,20.0,20.0,20.5,20.0,2240086
PVT,2025-04-09,18.6,18.6,19.2,18.6,6051274
PVT,2025-04-10,19.9,19.9,19.9,19.9,543086
PVT,2025-04-11,20.65,20.3,20.65,19.55,5928200
VTP,2025-04-04,116.3,116.3,116.3,116.3,285305
VTP,2025-04-08,108.2,108.2,108.2,108.2,87262
VTP,2025-04-09,100.7,100.7,100.7,100.7,88566
VTP,2025-04-10,107.7,107.7,107.7,106.9,655845
VTP,2025-04-11,100.2,112.0,112.8,100.2,2002100
