ticker,time,open,close,high,low,volume
VNINDEX,2025-04-29,1227.25,1226.3,1229.1,1222.3,523225174
VNINDEX,2025-05-05,1226.3,1240.05,1241.51,1226.3,562828082
VNINDEX,2025-05-06,1240.05,1241.95,1251.02,1240.05,723833572
VNINDEX,2025-05-07,1241.95,1250.37,1250.79,1240.2,696862360
VNINDEX,2025-05-08,1250.37,1269.8,1271.44,1250.37,780781448
VNINDEX,2025-05-09,1269.8,1267.3,1279.61,1264.87,696772993
GAS,2025-04-29,58.4,58.3,58.4,58.2,310949
GAS,2025-05-05,58.4,58.5,58.7,57.8,659689
GAS,2025-05-06,58.8,59.6,59.8,58.6,901786
GAS,2025-05-07,59.6,60.5,61.5,59.6,886178
GAS,2025-05-08,61.0,61.4,61.7,60.7,863199
GAS,2025-05-09,61.6,61.1,62.0,60.8,492943
PGV,2025-04-29,18.7,18.8,18.8,18.65,10719
PGV,2025-05-05,18.8,18.8,18.8,18.55,3110
PGV,2025-05-06,18.8,18.9,18.9,18.8,16500
PGV,2025-05-07,19.4,18.8,19.4,18.8,16138
PGV,2025-05-08,19.25,18.8,19.25,18.8,3714
PGV,2025-05-09,18.8,19.0,19.0,18.8,723
VSH,2025-04-29,52.6,52.5,52.6,52.5,300
VSH,2025-05-05,52.4,53.1,53.2,52.4,6406
VSH,2025-05-06,53.4,53.4,53.4,53.0,300
VSH,2025-05-07,52.6,52.5,52.8,52.5,15400
VSH,2025-05-08,52.2,52.6,53.0,52.2,8344
VSH,2025-05-09,52.6,52.6,52.6,52.6,21
POW,2025-04-29,11.75,11.85,12.0,11.7,5414055
POW,2025-05-05,12.0,12.3,12.3,11.8,12849417
POW,2025-05-06,12.35,12.2,12.4,12.15,6467580
POW,2025-05-07,12.2,12.7,13.05,12.2,25027369
POW,2025-05-08,12.8,12.8,12.9,12.65,9098022
POW,2025-05-09,12.9,12.75,12.95,12.65,7227301
BWE,2025-04-29,47.85,48.9,48.9,47.3,302658
BWE,2025-05-05,48.9,52.3,52.3,48.4,1138174
BWE,2025-05-06,53.5,52.3,54.3,52.3,844700
BWE,2025-05-07,52.3,52.8,54.1,52.0,858807
BWE,2025-05-08,51.8,51.1,52.8,50.3,605447
BWE,2025-05-09,51.2,52.1,53.0,51.2,252356
HND,2025-04-29,11.6,11.7,11.7,11.6,66408
HND,2025-05-05,11.8,11.9,12.0,11.5,37309
HND,2025-05-06,12.0,11.9,12.0,11.8,20121
HND,2025-05-07,12.0,12.1,12.2,12.0,45718
HND,2025-05-08,12.1,12.0,12.1,11.9,20300
HND,2025-05-09,12.1,12.0,12.1,11.9,28900
QTP,2025-04-29,13.7,13.5,13.7,13.4,196784
QTP,2025-05-05,13.6,13.6,13.6,13.4,361343
QTP,2025-05-06,13.6,13.6,13.6,13.5,289188
QTP,2025-05-07,13.6,13.6,13.8,13.5,297856
QTP,2025-05-08,13.7,13.6,13.7,13.5,428909
QTP,2025-05-09,13.6,13.6,13.7,13.5,122700
NT2,2025-04-29,17.65,17.6,17.75,17.5,228682
NT2,2025-05-05,17.65,18.3,18.3,17.55,634861
NT2,2025-05-06,18.4,18.15,18.4,18.15,369320
NT2,2025-05-07,18.0,18.8,18.8,18.0,1035443
NT2,2025-05-08,18.85,18.7,18.9,18.55,342279
NT2,2025-05-09,18.7,18.7,18.9,18.55,451732
