ticker,time,open,close,high,low,volume
VNINDEX,2025-07-01,1376.07,1377.84,1382.16,1369.74,725894731.0
VNINDEX,2025-07-02,1377.84,1384.59,1384.72,1372.27,850174592.0
VNINDEX,2025-07-03,1384.59,1381.96,1392.39,1377.06,1316396602.0
VNINDEX,2025-07-04,1381.96,1386.97,1388.04,1379.4,835995342.0
VNINDEX,2025-07-07,1386.97,1402.06,1402.32,1386.97,1231774285.0
VNINDEX,2025-07-08,1407.07,1410.64,1411.22,1406.99,76518474.0
USDEUR,2025-07-01,0.85,0.85,0.85,0.85,
USDEUR,2025-07-02,0.85,0.85,0.85,0.85,
USDEUR,2025-07-03,0.85,0.85,0.85,0.85,
USDEUR,2025-07-04,0.85,0.85,0.85,0.85,
USDVND,2025-07-01,26088.0,26110.0,26165.0,26060.0,
USDVND,2025-07-02,26119.0,26150.0,26169.0,26090.0,
USDVND,2025-07-03,26198.0,26175.0,26229.0,26140.0,
USDVND,2025-07-04,26199.0,26158.0,26230.0,26150.0,
JPYVND,2025-07-01,181.3,182.01,182.98,181.17,
JPYVND,2025-07-02,182.01,181.98,182.31,181.24,
JPYVND,2025-07-03,181.98,180.6,182.73,180.19,
JPYVND,2025-07-04,180.6,180.94,181.67,180.52,
AUDVND,2025-07-01,17172.59,17180.38,17217.03,17104.6,
AUDVND,2025-07-02,17182.99,17211.93,17227.62,17107.33,
AUDVND,2025-07-03,17211.93,17194.36,17252.07,17105.36,
AUDVND,2025-07-04,17199.59,17133.49,17229.16,17119.1,
EURVND,2025-07-01,30782.67,30822.86,30900.9,30702.75,
EURVND,2025-07-02,30822.86,30851.77,30872.34,30715.79,
EURVND,2025-07-03,30849.16,30768.71,30968.58,30669.25,
EURVND,2025-07-04,30771.33,30808.89,30870.28,30760.86,
GBPVND,2025-07-01,35868.0,35888.0,36021.0,35773.0,
GBPVND,2025-07-02,35880.0,35658.0,35964.0,35459.0,
GBPVND,2025-07-03,35658.0,35734.0,35835.0,35554.0,
GBPVND,2025-07-04,35745.0,35711.0,35838.0,35659.0,
