ticker,time,open,close,high,low,volume
VNINDEX,2025-07-01,1376.07,1377.84,1382.16,1369.74,725894731
VNINDEX,2025-07-02,1377.84,1384.59,1384.72,1372.27,850174592
VNINDEX,2025-07-03,1384.59,1381.96,1392.39,1377.06,1316396602
VNINDEX,2025-07-04,1381.96,1386.97,1388.04,1379.4,835995342
VNINDEX,2025-07-07,1386.97,1402.06,1402.32,1386.97,1231774285
VNINDEX,2025-07-08,1407.07,1410.64,1411.22,1406.99,76518474
GOLD,2025-06-30,1.0,0.98,1.0,0.98,180469
GOLD,2025-07-02,0.98,1.0,1.0,0.98,206519
GOLD,2025-07-03,1.0,1.0,1.01,0.98,156796
GOLD,2025-07-04,1.0,1.0,1.01,0.99,37217
SPX,2025-07-01,6187.25,6198.01,6210.78,6177.97,3552404111
SPX,2025-07-02,6193.88,6227.42,6227.6,6188.29,3137017015
SPX,2025-07-03,6246.46,6279.35,6284.65,6246.46,1822312475
DJI,2025-07-01,44061.49,44494.94,44604.15,44013.54,593607933
DJI,2025-07-02,44455.66,44484.42,44557.82,44354.01,502603415
DJI,2025-07-03,44565.75,44828.53,44885.83,44550.42,346629174
NDX,2025-07-01,22594.48,22478.14,22631.26,22388.09,385558853
NDX,2025-07-02,22451.81,22641.89,22644.72,22448.07,346488006
NDX,2025-07-03,22751.64,22866.97,22896.01,22736.08,225781643
JAPAN,2025-07-01,336.58,333.99,336.58,333.2,-99999902
JAPAN,2025-07-02,333.99,333.22,334.31,331.47,-99999902
JAPAN,2025-07-03,333.22,333.69,333.69,332.06,-99999902
JAPAN,2025-07-04,333.69,333.51,335.44,332.48,-99999902
NYSE,2025-07-01,20429.55,20541.37,20582.27,20393.69,-99999902
NYSE,2025-07-02,20541.37,20596.93,20596.93,20477.7,-99999902
NYSE,2025-07-03,20596.93,20725.79,20742.38,20596.93,-99999902
