ticker,time,open,close,high,low,volume
VNINDEX,2025-07-01,1376.07,1377.84,1382.16,1369.74,725894731
VNINDEX,2025-07-02,1377.84,1384.59,1384.72,1372.27,850174592
VNINDEX,2025-07-03,1384.59,1381.96,1392.39,1377.06,1316396602
VNINDEX,2025-07-04,1381.96,1386.97,1388.04,1379.4,835995342
VNINDEX,2025-07-07,1386.97,1402.06,1402.32,1386.97,1231774285
VNINDEX,2025-07-08,1407.07,1410.64,1411.22,1406.99,76518474
VCB,2025-07-01,57.2,58.2,58.8,57.1,10063516
VCB,2025-07-02,58.3,58.0,58.6,57.7,2921604
VCB,2025-07-03,58.1,57.9,58.8,57.7,7406255
VCB,2025-07-04,57.9,58.4,58.8,57.8,4856776
VCB,2025-07-07,58.5,58.6,58.9,58.2,8065549
VCB,2025-07-08,58.8,59.3,59.5,58.8,1167300
BID,2025-07-01,36.35,36.6,36.85,36.25,7019449
BID,2025-07-02,36.6,36.4,36.65,36.3,3807613
BID,2025-07-03,36.5,36.3,36.8,36.15,6061507
BID,2025-07-04,36.45,36.55,36.7,36.3,3911085
BID,2025-07-07,36.65,37.2,37.2,36.65,11244684
BID,2025-07-08,37.2,37.3,37.4,37.2,935200
CTG,2025-07-01,41.7,41.9,42.0,41.55,4091223
CTG,2025-07-02,41.85,41.9,42.1,41.8,4280615
CTG,2025-07-03,41.85,42.5,42.75,41.8,10208733
CTG,2025-07-04,42.7,42.7,42.8,42.2,4482062
CTG,2025-07-07,43.0,44.4,44.4,42.95,11506837
CTG,2025-07-08,44.5,44.4,44.6,44.4,393900
TCB,2025-07-01,34.2,34.4,34.55,34.05,12550119
TCB,2025-07-02,34.5,35.0,35.1,34.45,16957197
TCB,2025-07-03,35.15,34.85,35.3,34.8,22284626
TCB,2025-07-04,34.85,34.95,35.0,34.65,12166991
TCB,2025-07-07,35.2,35.3,35.45,35.1,12251918
TCB,2025-07-08,35.3,35.4,35.55,35.3,1088600
VPB,2025-07-01,18.5,18.45,18.6,18.4,17067538
VPB,2025-07-02,18.45,18.6,18.6,18.35,18383301
VPB,2025-07-03,18.55,18.65,18.85,18.5,47161931
VPB,2025-07-04,18.7,18.75,18.85,18.6,22184658
VPB,2025-07-07,18.9,19.3,19.35,18.9,53687103
VPB,2025-07-08,19.35,19.25,19.35,19.2,1930600
MBB,2025-07-01,25.9,26.0,26.15,25.8,22363116
MBB,2025-07-02,26.05,26.05,26.3,26.0,14011254
MBB,2025-07-03,26.15,25.95,26.35,25.95,25587555
MBB,2025-07-04,26.0,26.0,26.05,25.85,14990464
MBB,2025-07-07,26.1,26.4,26.5,26.1,18605327
MBB,2025-07-08,26.5,26.6,26.7,26.5,2454200
ACB,2025-07-01,21.3,21.3,21.4,21.25,7539134
ACB,2025-07-02,21.3,21.3,21.45,21.25,7639796
ACB,2025-07-03,21.35,21.4,21.6,21.3,15138870
ACB,2025-07-04,21.45,21.85,22.2,21.45,26970669
ACB,2025-07-07,22.05,22.25,22.35,21.9,17384438
ACB,2025-07-08,22.4,22.3,22.4,22.3,1060000
HDB,2025-07-01,21.85,22.1,22.3,21.8,23743747
HDB,2025-07-02,22.15,22.3,22.5,22.05,15273644
HDB,2025-07-03,22.3,22.55,22.75,22.2,18413611
HDB,2025-07-04,22.65,22.55,22.8,22.4,13210286
HDB,2025-07-07,22.65,23.3,23.3,22.6,24890477
HDB,2025-07-08,23.4,23.35,23.45,23.3,1559100
VIB,2025-07-01,18.35,18.3,18.4,18.2,4005219
VIB,2025-07-02,18.35,18.3,18.35,18.2,4361408
VIB,2025-07-03,18.35,18.35,18.6,18.3,9121161
VIB,2025-07-04,18.45,18.4,18.45,18.3,4325265
VIB,2025-07-07,18.55,18.7,18.8,18.45,10379662
VIB,2025-07-08,18.85,18.85,18.9,18.8,840800
LPB,2025-07-01,32.35,32.15,32.4,32.05,1361617
LPB,2025-07-02,32.2,32.35,32.55,32.15,2019016
LPB,2025-07-03,32.4,32.5,32.5,32.2,2822965
LPB,2025-07-04,32.65,32.75,33.15,32.5,3008244
LPB,2025-07-07,32.9,33.5,33.5,32.75,5354671
LPB,2025-07-08,33.65,33.7,34.0,33.65,389400
STB,2025-07-01,46.8,46.95,46.95,46.45,6105918
STB,2025-07-02,47.3,47.55,48.1,47.0,9452804
STB,2025-07-03,47.4,46.65,47.7,46.4,14992192
STB,2025-07-04,46.7,47.05,47.2,46.2,9443052
STB,2025-07-07,47.1,47.55,48.5,47.1,8255359
STB,2025-07-08,47.7,47.7,48.05,47.65,410000
