ticker,time,open,close,high,low,volume
VNINDEX,2025-07-01,1376.07,1377.84,1382.16,1369.74,725894731
VNINDEX,2025-07-02,1377.84,1384.59,1384.72,1372.27,850174592
VNINDEX,2025-07-03,1384.59,1381.96,1392.39,1377.06,1316396602
VNINDEX,2025-07-04,1381.96,1386.97,1388.04,1379.4,835995342
VNINDEX,2025-07-07,1386.97,1402.06,1402.32,1386.97,1231774285
VNINDEX,2025-07-08,1407.07,1410.64,1411.22,1406.99,76518474
VCB,2025-07-01,57.2,58.2,58.8,57.1,10063516
VCB,2025-07-02,58.3,58.0,58.6,57.7,2921604
VCB,2025-07-03,58.1,57.9,58.8,57.7,7406255
VCB,2025-07-04,57.9,58.4,58.8,57.8,4856776
VCB,2025-07-07,58.5,58.6,58.9,58.2,8065549
VCB,2025-07-08,58.8,59.3,59.5,58.8,1167300
MWG,2025-07-01,65.5,64.5,65.8,64.3,7115966
MWG,2025-07-02,64.5,64.8,65.1,64.3,5789872
MWG,2025-07-03,64.7,65.4,66.6,64.7,12688301
MWG,2025-07-04,65.9,66.3,66.5,65.5,6186262
MWG,2025-07-07,66.6,66.5,66.8,65.8,6690099
MWG,2025-07-08,66.6,66.5,66.7,66.4,310400
VHM,2025-07-01,76.4,76.3,76.7,74.8,3860973
VHM,2025-07-02,75.3,76.0,76.1,74.7,4381230
VHM,2025-07-03,75.2,76.3,76.8,75.2,3221582
VHM,2025-07-04,76.3,76.0,76.4,75.2,3227630
VHM,2025-07-07,75.7,76.9,76.9,75.3,3509830
VHM,2025-07-08,76.9,77.7,77.9,76.8,182000
SSI,2025-07-01,24.75,24.45,24.8,24.35,15151162
SSI,2025-07-02,24.4,25.5,25.8,24.35,41277820
SSI,2025-07-03,25.5,25.75,26.3,25.15,58345400
SSI,2025-07-04,25.9,25.9,26.15,25.6,21032421
SSI,2025-07-07,26.2,26.3,26.45,26.05,33323916
SSI,2025-07-08,26.4,26.5,26.6,26.4,4659100
PNJ,2025-07-01,83.2,83.4,83.4,82.0,925958
PNJ,2025-07-02,83.3,82.9,84.1,82.9,850006
PNJ,2025-07-03,82.9,82.5,84.1,82.2,905971
PNJ,2025-07-04,82.5,82.7,83.6,82.5,383255
PNJ,2025-07-07,83.0,82.5,83.3,82.0,333311
PNJ,2025-07-08,82.7,82.6,82.9,82.6,7600
VNM,2025-07-01,58.4,57.5,58.4,57.2,4022091
VNM,2025-07-02,57.6,57.7,58.0,57.3,3779271
VNM,2025-07-03,57.7,57.5,58.4,57.3,5300539
VNM,2025-07-04,57.5,57.8,57.9,57.3,2700639
VNM,2025-07-07,58.0,57.9,58.3,57.7,3769261
VNM,2025-07-08,58.0,58.2,58.3,58.0,255300
HPG,2025-07-01,22.75,22.65,22.9,22.6,19796627
HPG,2025-07-02,22.65,22.9,22.9,22.55,18923070
HPG,2025-07-03,23.0,23.1,23.65,23.0,42563897
HPG,2025-07-04,23.15,23.25,23.25,23.1,19418237
HPG,2025-07-07,23.7,23.6,23.7,23.4,36030224
HPG,2025-07-08,23.65,23.65,23.7,23.65,1036800
VGC,2025-07-01,45.2,45.1,46.3,44.9,1227943
VGC,2025-07-02,45.4,46.5,46.95,45.1,1665236
VGC,2025-07-03,45.8,44.6,45.95,44.35,1794353
VGC,2025-07-04,44.75,44.3,44.85,44.15,970277
VGC,2025-07-07,44.95,44.5,45.0,44.0,457875
VGC,2025-07-08,45.5,45.25,45.6,45.2,149500
GAS,2025-07-01,67.5,66.4,67.8,66.4,860628
GAS,2025-07-02,66.4,66.4,67.0,66.2,565194
GAS,2025-07-03,66.9,66.2,67.5,66.2,914152
GAS,2025-07-04,66.4,66.4,66.7,66.2,557316
GAS,2025-07-07,66.7,66.5,66.7,66.4,503042
GAS,2025-07-08,67.1,66.9,67.1,66.8,41900
BSR,2025-07-01,17.9,17.8,17.9,17.7,2098271
BSR,2025-07-02,17.8,17.8,17.8,17.7,1582821
BSR,2025-07-03,17.85,17.85,18.1,17.8,2635225
BSR,2025-07-04,18.0,17.95,18.2,17.9,2621670
BSR,2025-07-07,17.95,17.95,18.1,17.9,2588624
BSR,2025-07-08,18.05,18.0,18.1,18.0,497400
ACV,2025-07-01,98.2,95.4,98.2,95.0,726911
ACV,2025-07-02,95.5,95.7,96.6,94.7,276371
ACV,2025-07-03,95.7,97.1,97.5,95.5,535964
ACV,2025-07-04,96.9,96.8,97.5,96.2,280222
ACV,2025-07-07,96.8,96.0,96.8,95.0,511968
ACV,2025-07-08,95.9,95.9,95.9,95.8,2900
FPT,2025-07-01,119.0,118.8,119.5,118.2,4621512
FPT,2025-07-02,118.5,118.6,118.7,117.6,3672455
FPT,2025-07-03,118.5,118.0,119.8,117.8,6321182
FPT,2025-07-04,118.5,122.5,123.4,118.4,12854266
FPT,2025-07-07,123.3,123.8,124.7,123.0,6403004
FPT,2025-07-08,124.1,124.3,124.4,124.0,415700
BVH,2025-07-01,52.7,53.6,54.3,51.7,656055
BVH,2025-07-02,53.3,53.5,54.4,53.3,515641
BVH,2025-07-03,53.0,53.0,53.7,52.5,606852
BVH,2025-07-04,52.8,54.9,55.0,52.4,530827
BVH,2025-07-07,54.2,54.5,54.9,53.8,303935
BVH,2025-07-08,54.5,54.4,54.5,54.4,16500
GVR,2025-07-01,30.65,31.15,31.3,30.4,5300591
GVR,2025-07-02,31.2,31.25,32.4,31.1,4474878
GVR,2025-07-03,30.45,29.6,30.65,29.25,13347430
GVR,2025-07-04,29.6,29.3,29.9,29.1,5122983
GVR,2025-07-07,29.7,29.75,30.1,29.55,2776956
GVR,2025-07-08,30.5,30.15,30.55,30.15,1249200
DRC,2025-07-01,22.2,21.7,22.2,21.7,427704
DRC,2025-07-02,21.65,21.85,22.15,21.6,876379
DRC,2025-07-03,22.0,21.7,22.4,21.6,1309002
DRC,2025-07-04,21.75,21.6,21.8,21.5,812694
DRC,2025-07-07,21.8,21.6,21.8,21.5,708869
DRC,2025-07-08,21.75,21.85,21.95,21.75,82700
VJC,2025-07-01,88.2,90.5,91.0,88.2,1286425
VJC,2025-07-02,90.5,90.2,90.5,89.9,599173
VJC,2025-07-03,87.3,89.0,90.4,87.3,700584
VJC,2025-07-04,89.1,89.8,90.0,88.5,794498
VJC,2025-07-07,89.7,90.0,90.3,88.7,789884
VJC,2025-07-08,90.0,89.9,90.1,89.5,54400
