ticker,time,open,close,high,low,volume
VNINDEX,2025-07-01,1376.07,1377.84,1382.16,1369.74,725894731
VNINDEX,2025-07-02,1377.84,1384.59,1384.72,1372.27,850174592
VNINDEX,2025-07-03,1384.59,1381.96,1392.39,1377.06,1316396602
VNINDEX,2025-07-04,1381.96,1386.97,1388.04,1379.4,835995342
VNINDEX,2025-07-07,1386.97,1402.06,1402.32,1386.97,1231774285
VNINDEX,2025-07-08,1407.07,1410.64,1411.22,1406.99,76518474
HPG,2025-07-01,22.75,22.65,22.9,22.6,19796627
HPG,2025-07-02,22.65,22.9,22.9,22.55,18923070
HPG,2025-07-03,23.0,23.1,23.65,23.0,42563897
HPG,2025-07-04,23.15,23.25,23.25,23.1,19418237
HPG,2025-07-07,23.7,23.6,23.7,23.4,36030224
HPG,2025-07-08,23.65,23.65,23.7,23.65,1036800
MSR,2025-07-01,18.9,18.6,19.0,18.4,1721412
MSR,2025-07-02,18.6,18.6,18.7,18.4,1121682
MSR,2025-07-03,18.6,18.5,19.0,18.3,1876331
MSR,2025-07-04,18.6,18.6,18.7,18.4,916561
MSR,2025-07-07,18.6,18.7,18.8,18.5,1356410
MSR,2025-07-08,18.7,18.7,18.9,18.2,257500
HSG,2025-07-01,16.65,16.7,16.9,16.55,6186475
HSG,2025-07-02,16.7,17.0,17.1,16.45,11940936
HSG,2025-07-03,17.2,17.1,17.55,16.85,16695580
HSG,2025-07-04,17.1,16.95,17.2,16.85,6946096
HSG,2025-07-07,17.25,17.35,17.4,16.95,13375302
HSG,2025-07-08,17.45,17.65,17.65,17.35,1905400
ACG,2025-07-01,36.0,36.0,36.0,36.0,4914
ACG,2025-07-02,36.0,36.0,36.0,36.0,11101
ACG,2025-07-03,36.4,35.8,36.4,33.5,24301
ACG,2025-07-04,35.8,36.0,36.0,35.7,11875
ACG,2025-07-07,36.0,35.9,36.0,35.8,15193
NKG,2025-07-01,13.25,13.25,13.55,13.2,8904986
NKG,2025-07-02,13.4,13.6,13.6,13.15,12005047
NKG,2025-07-03,13.8,13.65,14.1,13.4,21833283
NKG,2025-07-04,13.75,13.65,13.8,13.6,8056422
NKG,2025-07-07,13.95,13.7,14.0,13.6,11604687
NKG,2025-07-08,13.75,13.85,13.9,13.7,1481500
KSV,2025-07-01,163.6,164.3,165.0,163.6,14046
KSV,2025-07-02,165.0,164.2,165.9,164.2,13507
KSV,2025-07-03,164.5,163.5,166.6,163.2,30418
KSV,2025-07-04,163.5,163.9,164.5,163.0,23517
KSV,2025-07-07,164.0,164.0,165.0,163.9,14568
KSV,2025-07-08,163.8,164.0,164.0,163.7,1500
VIF,2025-07-01,16.9,16.9,16.9,16.9,8500
VIF,2025-07-02,16.9,16.8,16.9,16.4,17500
VIF,2025-07-03,16.8,16.7,16.8,16.7,4000
VIF,2025-07-04,17.4,16.9,17.4,16.9,10800
VIF,2025-07-07,16.9,16.9,16.9,16.8,5900
PTB,2025-07-01,54.5,54.2,54.5,53.4,76592
PTB,2025-07-02,53.7,54.0,54.4,53.5,133970
PTB,2025-07-03,54.5,53.9,54.5,53.5,186983
PTB,2025-07-04,54.3,54.8,55.0,53.5,153972
PTB,2025-07-07,55.5,54.5,55.7,54.3,177581
PTB,2025-07-08,54.9,54.9,54.9,54.7,5200
TVN,2025-07-01,7.1,7.2,7.3,7.0,416004
TVN,2025-07-02,7.2,7.3,7.3,7.1,340297
TVN,2025-07-03,7.2,7.3,7.4,7.1,644864
TVN,2025-07-04,7.3,7.3,7.3,7.2,211667
TVN,2025-07-07,7.3,7.4,7.5,7.3,574831
TVN,2025-07-08,7.4,7.3,7.4,7.3,7600
PRT,2025-07-01,10.3,10.1,10.3,10.0,5200
PRT,2025-07-02,10.2,10.2,10.3,9.8,12900
PRT,2025-07-03,10.1,10.1,10.1,10.1,0
PRT,2025-07-04,10.1,10.2,10.2,10.1,2100
PRT,2025-07-07,10.0,10.0,10.3,10.0,5600
