ticker,time,open,close,high,low,volume
SPX,2025-05-02,5645.88,5686.67,5700.7,5642.28,3010089578
SPX,2025-05-05,5655.32,5650.38,5683.38,5634.48,2693789287
SPX,2025-05-06,5605.87,5606.91,5649.58,5586.04,2767164782
SPX,2025-05-07,5614.18,5631.28,5654.73,5578.64,3197894396
SPX,2025-05-08,5663.6,5663.94,5720.1,5635.38,3208687019
SPX,2025-05-09,5679.65,5659.91,5691.69,5644.15,2429494619
LIN,2025-05-02,453.7,454.95,457.14,452.11,1548579
LIN,2025-05-05,453.0,452.49,455.49,450.14,1462273
LIN,2025-05-06,452.86,447.05,453.53,446.24,1441332
LIN,2025-05-07,447.97,449.66,454.22,444.9,1573910
LIN,2025-05-08,449.93,453.23,458.0,449.53,1626400
LIN,2025-05-09,455.03,452.66,455.03,450.56,1058926
SCCO,2025-05-02,90.71,90.14,90.9,89.27,796239
SCCO,2025-05-05,89.97,88.55,90.15,88.51,664006
SCCO,2025-05-06,88.57,90.52,90.72,88.1,1034340
SCCO,2025-05-07,89.4,87.46,89.7,86.59,1326308
SCCO,2025-05-08,87.25,88.08,88.88,87.12,984339
SCCO,2025-05-09,89.0,89.38,89.44,88.13,1022848
SHW,2025-05-02,357.15,359.64,361.45,357.15,1398620
SHW,2025-05-05,358.74,359.82,365.57,358.18,1583708
SHW,2025-05-06,356.38,352.52,358.62,352.29,1159010
SHW,2025-05-07,352.52,351.58,353.99,349.96,1026075
SHW,2025-05-08,353.21,353.57,357.1,350.81,1259381
SHW,2025-05-09,352.48,351.86,353.78,350.22,1470696
FCX,2025-05-02,37.62,37.6,37.99,37.01,11932244
FCX,2025-05-05,37.69,37.35,37.69,37.17,7701041
FCX,2025-05-06,37.18,37.92,38.28,37.14,9778674
FCX,2025-05-07,37.51,37.02,37.77,36.64,11880029
FCX,2025-05-08,37.16,37.48,37.96,36.84,9814617
FCX,2025-05-09,37.83,37.86,38.03,37.36,7306047
ECL,2025-05-02,255.68,255.38,257.28,254.84,1099384
ECL,2025-05-05,255.22,255.1,256.6,253.92,794757
ECL,2025-05-06,253.16,252.65,255.27,251.66,858235
ECL,2025-05-07,252.36,254.33,255.02,251.45,1323533
ECL,2025-05-08,254.61,253.4,257.39,253.1,1078632
ECL,2025-05-09,252.81,252.67,253.35,250.62,951169
APD,2025-05-02,272.5,277.62,281.62,272.26,1446936
APD,2025-05-05,274.16,272.21,276.84,271.9,960732
APD,2025-05-06,272.17,267.62,274.83,266.66,1185173
APD,2025-05-07,267.64,264.61,268.99,262.99,1379198
APD,2025-05-08,266.54,269.64,271.96,264.51,1073766
APD,2025-05-09,270.31,271.13,272.48,269.36,913095
NEM,2025-05-02,52.17,51.53,52.47,51.16,8805848
NEM,2025-05-05,52.8,53.04,53.06,52.25,12141997
NEM,2025-05-06,53.77,54.61,54.74,53.25,13642007
NEM,2025-05-07,53.42,53.99,54.33,53.21,11140005
NEM,2025-05-08,53.79,52.83,54.2,52.73,9817451
NEM,2025-05-09,53.47,53.98,54.11,52.97,8153786
CRH,2025-05-02,97.93,98.51,99.12,97.23,4690437
CRH,2025-05-05,97.71,98.25,98.67,97.15,5744105
CRH,2025-05-06,94.38,93.95,95.62,93.79,8254272
CRH,2025-05-07,94.53,91.82,94.63,91.42,8987156
CRH,2025-05-08,93.0,93.94,95.14,92.44,4921281
CRH,2025-05-09,94.42,94.59,94.86,93.76,3783524
NUE,2025-05-02,120.82,122.97,123.95,120.28,2085687
NUE,2025-05-05,121.59,120.49,122.89,120.42,1368607
NUE,2025-05-06,119.03,116.85,120.13,116.74,2378481
NUE,2025-05-07,118.05,115.15,118.05,114.01,2929491
NUE,2025-05-08,116.04,115.49,117.16,114.49,2084151
NUE,2025-05-09,115.9,115.22,116.81,114.25,1715329
