ticker,time,open,close,high,low,volume
SPX,2025-05-05,5655.32,5650.38,5683.38,5634.48,2693789287
SPX,2025-05-06,5605.87,5606.91,5649.58,5586.04,2767164782
SPX,2025-05-07,5614.18,5631.28,5654.73,5578.64,3197894396
SPX,2025-05-08,5663.6,5663.94,5720.1,5635.38,3208687019
SPX,2025-05-09,5679.65,5659.91,5691.69,5644.15,2429494619
SPX,2025-05-12,5807.2,5844.19,5845.37,5786.08,3756162007
SPX,2025-05-13,5854.15,5886.55,5906.64,5845.02,3512934287
SPX,2025-05-14,5896.74,5892.58,5906.55,5872.11,3445232926
SPX,2025-05-15,5869.82,5916.93,5924.21,5865.16,3138351580
SPX,2025-05-16,5929.09,5958.38,5958.62,5907.36,2931804148
WMT,2025-05-05,98.94,99.33,99.74,98.53,12439132
WMT,2025-05-06,98.74,98.55,99.47,98.41,10625999
WMT,2025-05-07,98.55,98.83,99.23,98.31,11310191
WMT,2025-05-08,98.75,97.43,99.33,97.36,14461119
WMT,2025-05-09,96.75,96.72,97.2,96.29,13697822
WMT,2025-05-12,97.67,96.75,97.97,95.62,26783925
WMT,2025-05-13,96.5,95.88,97.32,95.22,19746658
WMT,2025-05-14,96.02,96.83,97.33,95.83,25620110
WMT,2025-05-15,94.3,96.35,96.72,91.89,44026125
WMT,2025-05-16,96.14,98.24,99.19,96.0,33746187
PG,2025-05-05,160.89,158.83,160.91,158.02,7576219
PG,2025-05-06,158.04,159.25,159.71,157.65,7703843
PG,2025-05-07,159.02,159.29,160.05,158.54,6430156
PG,2025-05-08,158.38,158.65,160.0,158.01,7230806
PG,2025-05-09,158.02,157.66,159.13,157.41,6453232
PG,2025-05-12,157.43,160.9,161.05,156.69,7378380
PG,2025-05-13,160.02,158.73,160.72,157.36,7780827
PG,2025-05-14,158.12,158.02,159.16,157.57,5988905
PG,2025-05-15,159.59,162.41,162.91,158.7,8727316
PG,2025-05-16,162.65,163.28,163.43,161.85,7100784
COST,2025-05-05,1007.5,1014.89,1017.78,1002.5,1952580
COST,2025-05-06,1008.45,1010.5,1016.23,1003.51,1381248
COST,2025-05-07,1011.18,1007.15,1014.1,1001.47,1316596
COST,2025-05-08,1013.5,1007.71,1017.0,991.4,1882643
COST,2025-05-09,1004.61,1008.09,1010.71,998.05,1176656
COST,2025-05-12,1009.79,1016.15,1016.91,992.24,2069049
COST,2025-05-13,1013.72,999.03,1023.83,987.6,2917044
COST,2025-05-14,998.76,991.54,999.86,990.52,2214978
COST,2025-05-15,992.65,1010.47,1014.0,983.0,2470690
COST,2025-05-16,1012.49,1025.83,1028.26,1009.0,2033744
KO,2025-05-05,71.67,71.7,71.8,71.01,11932687
KO,2025-05-06,71.68,71.72,71.9,71.16,12705475
KO,2025-05-07,71.72,72.4,72.68,71.67,15025786
KO,2025-05-08,72.2,71.17,72.47,71.13,14371061
KO,2025-05-09,70.99,70.52,71.15,70.46,11228947
KO,2025-05-12,70.14,69.53,70.33,68.7,21539013
KO,2025-05-13,69.59,68.96,69.69,68.87,14389053
KO,2025-05-14,68.88,69.16,69.34,68.58,16286799
KO,2025-05-15,69.7,71.61,71.73,69.6,19817096
KO,2025-05-16,71.86,72.0,72.26,71.43,18441200
PEP,2025-05-05,134.04,131.99,134.04,131.7,8972159
PEP,2025-05-06,131.9,130.74,131.9,130.16,6889893
PEP,2025-05-07,130.94,131.92,132.67,130.27,6313815
PEP,2025-05-08,131.88,131.43,132.98,131.26,6392355
PEP,2025-05-09,131.15,130.44,131.65,130.18,4770504
PEP,2025-05-12,130.84,131.68,132.33,130.06,8392720
PEP,2025-05-13,131.17,130.31,131.64,129.75,8650220
PEP,2025-05-14,130.07,128.45,130.17,127.87,10463015
PEP,2025-05-15,129.19,131.5,131.55,128.81,9165089
PEP,2025-05-16,132.09,131.98,132.26,130.65,8896370
PM,2025-05-05,171.18,173.19,173.72,170.0,4545056
PM,2025-05-06,172.78,174.08,174.21,172.16,4081962
PM,2025-05-07,173.51,175.36,176.49,173.15,6685581
PM,2025-05-08,174.24,172.0,174.96,170.28,5635081
PM,2025-05-09,171.71,169.7,171.71,169.38,4733523
PM,2025-05-12,165.64,164.83,166.6,162.37,10006643
PM,2025-05-13,164.97,163.82,165.28,163.6,5941147
PM,2025-05-14,163.44,164.03,165.62,162.93,4953232
PM,2025-05-15,165.26,169.14,169.6,164.95,4959484
PM,2025-05-16,169.33,170.44,170.6,168.37,3803524
MDLZ,2025-05-05,67.76,67.8,67.93,67.0,6310804
MDLZ,2025-05-06,67.75,67.51,67.94,67.16,5436101
MDLZ,2025-05-07,67.58,67.18,67.68,66.91,6841638
MDLZ,2025-05-08,67.02,67.22,67.6,66.72,7143949
MDLZ,2025-05-09,66.86,66.37,67.11,66.31,5136308
MDLZ,2025-05-12,66.2,65.83,66.66,65.36,7069947
MDLZ,2025-05-13,65.38,64.14,65.44,63.46,10361723
MDLZ,2025-05-14,63.89,63.54,64.07,63.43,7455549
MDLZ,2025-05-15,63.96,65.14,65.18,63.8,7310129
MDLZ,2025-05-16,65.34,65.32,65.39,64.33,8015152
MO,2025-05-05,59.76,59.87,60.05,59.12,6655993
MO,2025-05-06,59.92,60.48,60.62,59.85,6527440
MO,2025-05-07,60.53,60.91,61.26,60.37,9190293
MO,2025-05-08,60.48,60.4,60.98,60.09,7904387
MO,2025-05-09,60.12,59.43,60.16,59.36,5747703
MO,2025-05-12,58.27,56.95,58.27,56.52,16278627
MO,2025-05-13,56.95,56.47,56.97,56.3,11410606
MO,2025-05-14,56.35,56.33,56.73,56.06,9070560
MO,2025-05-15,56.65,58.06,58.35,56.62,8851054
MO,2025-05-16,58.2,58.89,58.95,58.08,5927748
CL,2025-05-05,90.94,90.74,91.05,90.2,4084425
CL,2025-05-06,90.42,91.0,91.56,89.98,3605780
CL,2025-05-07,90.69,90.88,91.42,90.1,4401163
CL,2025-05-08,90.72,90.83,91.88,90.5,3550715
CL,2025-05-09,90.66,89.81,90.96,89.71,3846266
CL,2025-05-12,88.99,89.14,89.55,87.63,6071562
CL,2025-05-13,88.98,87.88,88.98,86.94,5458530
CL,2025-05-14,87.68,87.57,87.89,87.06,3699470
CL,2025-05-15,87.97,89.63,89.68,87.97,4002977
CL,2025-05-16,90.0,91.23,91.36,89.6,4650647
TGT,2025-05-05,96.84,94.02,96.84,93.71,6789319
TGT,2025-05-06,93.9,93.65,94.59,93.01,5726565
TGT,2025-05-07,94.12,95.49,96.13,93.95,5727423
TGT,2025-05-08,96.95,96.93,98.38,96.24,5006334
TGT,2025-05-09,96.94,96.4,97.84,96.09,4614732
TGT,2025-05-12,100.93,101.08,103.0,99.03,9670805
TGT,2025-05-13,100.88,99.09,100.88,98.47,7774480
TGT,2025-05-14,97.05,95.26,97.25,94.81,10286431
TGT,2025-05-15,94.3,97.07,97.5,93.71,8348519
TGT,2025-05-16,97.76,98.58,99.14,97.4,6371469
