ticker,time,open,close,high,low,volume
SPX,2025-06-02,5896.68,5935.94,5937.4,5861.43,2747394993
SPX,2025-06-03,5938.56,5970.37,5981.35,5929.0,2959610307
SPX,2025-06-04,5978.94,5970.81,5990.48,5966.11,2680331774
SPX,2025-06-05,5985.67,5939.3,5999.7,5921.2,3128216678
SPX,2025-06-06,5987.06,6000.36,6016.87,5978.63,2557851418
SPX,2025-06-09,6004.63,6005.88,6021.31,5994.18,2882903740
SPX,2025-06-10,6009.91,6038.81,6043.01,6000.28,2976909395
SPX,2025-06-11,6049.38,6022.24,6059.4,6002.32,2978585361
SPX,2025-06-12,6009.9,6045.26,6045.43,6003.88,2614508550
SPX,2025-06-13,6000.56,5976.97,6026.16,5963.21,3001801788
SPX,2025-06-16,6004.0,6033.11,6050.83,6004.0,2870307250
SPX,2025-06-17,6012.15,5982.72,6023.25,5974.8,2830518423
SPX,2025-06-18,5987.93,5980.87,6018.25,5971.89,2941500424
SPX,2025-06-20,5999.67,5967.84,6018.2,5952.56,5166023140
XOM,2025-06-02,103.75,103.05,103.85,102.22,17290462
XOM,2025-06-03,102.9,103.8,104.66,102.21,19194335
XOM,2025-06-04,103.92,102.3,104.92,102.3,15648515
XOM,2025-06-05,102.98,101.83,103.05,101.73,13942218
XOM,2025-06-06,102.76,104.27,104.5,102.68,15487844
XOM,2025-06-09,104.33,104.97,105.84,103.83,17087328
XOM,2025-06-10,106.08,107.22,107.64,105.93,17634793
XOM,2025-06-11,107.76,109.31,109.39,106.46,22648191
XOM,2025-06-12,108.92,109.73,110.19,108.22,17469408
XOM,2025-06-13,112.35,112.12,112.53,110.68,28540165
XOM,2025-06-16,111.82,112.48,113.16,111.13,22986113
XOM,2025-06-17,113.95,114.0,114.93,113.11,19451701
XOM,2025-06-18,114.61,113.19,115.24,112.94,17968893
XOM,2025-06-20,113.45,114.7,115.04,113.18,36273288
CVX,2025-06-02,138.49,137.84,138.69,136.43,9076639
CVX,2025-06-03,137.65,139.55,140.59,136.6,9001305
CVX,2025-06-04,139.42,137.37,140.63,137.33,8735619
CVX,2025-06-05,138.15,136.9,138.29,136.7,6350526
CVX,2025-06-06,138.09,140.21,140.61,138.09,6563518
CVX,2025-06-09,140.55,140.76,142.14,139.68,7159471
CVX,2025-06-10,142.22,143.35,144.94,141.91,9841523
CVX,2025-06-11,144.19,144.78,145.12,142.61,9256663
CVX,2025-06-12,144.5,144.97,145.2,143.43,6999389
CVX,2025-06-13,147.08,145.91,147.6,144.54,14148022
CVX,2025-06-16,145.73,146.03,146.87,143.74,10105077
CVX,2025-06-17,147.33,148.85,149.98,146.5,11330273
CVX,2025-06-18,149.44,148.19,150.17,147.7,9841924
CVX,2025-06-20,148.52,149.55,149.9,147.9,23705877
COP,2025-06-02,87.05,86.72,87.56,85.86,8634361
COP,2025-06-03,86.66,87.91,88.6,85.38,5642890
COP,2025-06-04,87.95,85.95,88.87,85.8,7268039
COP,2025-06-05,86.84,85.35,86.84,85.23,5110709
COP,2025-06-06,86.75,87.22,87.79,86.72,6042449
COP,2025-06-09,87.8,88.04,88.81,87.02,6212589
COP,2025-06-10,89.33,91.18,91.69,89.08,9687643
COP,2025-06-11,91.82,93.35,93.82,91.14,8738497
COP,2025-06-12,92.7,94.69,94.76,92.13,7862291
COP,2025-06-13,96.53,96.96,98.25,95.46,16849720
COP,2025-06-16,96.12,95.0,96.92,94.01,10330383
COP,2025-06-17,95.92,95.5,96.75,94.82,9468113
COP,2025-06-18,95.52,93.8,96.15,93.31,9115952
COP,2025-06-20,94.35,94.69,95.18,93.69,16026429
EOG,2025-06-02,111.11,111.34,111.81,109.7,4151461
EOG,2025-06-03,111.36,112.82,113.89,110.17,3279210
EOG,2025-06-04,112.96,110.77,114.53,110.77,3333941
EOG,2025-06-05,111.92,111.03,112.08,110.43,2697583
EOG,2025-06-06,112.69,114.05,114.7,112.69,3055903
EOG,2025-06-09,114.2,114.33,115.28,113.18,3647654
EOG,2025-06-10,116.34,117.88,119.52,116.0,4952225
