ticker,time,open,close,high,low,volume
SPX,2025-05-05,5655.32,5650.38,5683.38,5634.48,2693789287
SPX,2025-05-06,5605.87,5606.91,5649.58,5586.04,2767164782
SPX,2025-05-07,5614.18,5631.28,5654.73,5578.64,3197894396
SPX,2025-05-08,5663.6,5663.94,5720.1,5635.38,3208687019
SPX,2025-05-09,5679.65,5659.91,5691.69,5644.15,2429494619
SPX,2025-05-12,5807.2,5844.19,5845.37,5786.08,3756162007
SPX,2025-05-13,5854.15,5886.55,5906.64,5845.02,3512934287
SPX,2025-05-14,5896.74,5892.58,5906.55,5872.11,3445232926
SPX,2025-05-15,5869.82,5916.93,5924.21,5865.16,3138351580
SPX,2025-05-16,5929.09,5958.38,5958.62,5907.36,2931804148
SPX,2025-05-19,5902.88,5963.6,5968.61,5895.69,2576639838
SPX,2025-05-20,5944.66,5940.46,5953.06,5909.26,2543562609
SPX,2025-05-21,5910.18,5844.61,5938.37,5830.91,3112417919
SPX,2025-05-22,5841.26,5842.01,5878.08,5825.82,2780782105
SPX,2025-05-23,5781.89,5802.82,5829.51,5767.41,2550252052
SPX,2025-05-27,5854.07,5921.54,5924.33,5854.07,2882838064
SPX,2025-05-28,5925.54,5888.55,5939.92,5881.88,2613506833
SPX,2025-05-29,5939.96,5912.17,5943.13,5873.8,2851903524
SPX,2025-05-30,5903.67,5911.69,5922.14,5843.66,4812538509
SPX,2025-06-02,5896.68,5935.94,5937.4,5861.43,2747394993
SPX,2025-06-03,5938.56,5970.37,5981.35,5929.0,2959610307
SPX,2025-06-04,5978.94,5970.81,5990.48,5966.11,2680331774
SPX,2025-06-05,5985.67,5939.3,5999.7,5921.2,3128216678
SPX,2025-06-06,5987.06,6000.36,6016.87,5978.63,2557851418
SPX,2025-06-09,6004.63,6005.88,6021.31,5994.18,2882903740
SPX,2025-06-10,6009.91,6038.81,6043.01,6000.28,2976909395
SPX,2025-06-11,6049.38,6022.24,6059.4,6002.32,2978585361
SPX,2025-06-12,6009.9,6045.26,6045.43,6003.88,2614508550
SPX,2025-06-13,6000.56,5976.97,6026.16,5963.21,3001801788
BRK.B,2025-05-05,520.08,512.15,521.18,502.8,16380216
BRK.B,2025-05-06,509.57,512.33,515.75,507.99,6088592
BRK.B,2025-05-07,515.02,518.22,520.25,513.0,5581423
BRK.B,2025-05-08,520.98,513.25,521.26,513.04,5018581
BRK.B,2025-05-09,514.25,513.74,515.91,510.25,3621402
BRK.B,2025-05-12,520.3,514.3,520.3,510.25,6368046
BRK.B,2025-05-13,515.64,511.88,515.75,511.8,4504120
BRK.B,2025-05-14,511.85,503.4,511.85,502.8,6384053
BRK.B,2025-05-15,502.38,507.33,509.78,501.62,5040862
BRK.B,2025-05-16,509.63,514.31,514.33,506.8,4997321
BRK.B,2025-05-19,513.62,512.39,513.79,510.1,3441451
BRK.B,2025-05-20,511.11,508.74,512.08,506.55,3736959
BRK.B,2025-05-21,507.41,507.03,510.0,505.4,3815801
BRK.B,2025-05-22,505.1,503.57,507.4,502.64,3244774
BRK.B,2025-05-23,501.0,503.46,505.5,500.25,3166844
BRK.B,2025-05-27,506.42,509.16,509.75,505.01,4928325
BRK.B,2025-05-28,508.39,503.11,509.1,502.83,3613850
BRK.B,2025-05-29,504.0,506.18,506.55,501.2,3657310
BRK.B,2025-05-30,505.18,503.96,505.72,500.18,9153084
BRK.B,2025-06-02,501.7,502.81,503.23,499.47,4914008
BRK.B,2025-06-03,501.0,497.83,502.79,493.51,5923064
BRK.B,2025-06-04,496.94,491.0,496.99,490.88,5297634
BRK.B,2025-06-05,490.75,488.74,491.0,485.6,5165718
BRK.B,2025-06-06,491.63,493.53,496.1,491.63,3948280
BRK.B,2025-06-09,493.7,493.33,494.53,488.88,3987465
BRK.B,2025-06-10,492.66,491.13,492.9,489.5,3951496
BRK.B,2025-06-11,491.05,488.14,492.25,486.67,4595851
BRK.B,2025-06-12,486.24,490.34,490.44,483.78,3535161
BRK.B,2025-06-13,486.27,487.54,491.08,485.85,4000981
JPM,2025-05-05,251.18,252.56,255.16,250.59,5450744
JPM,2025-05-06,250.0,249.25,252.65,249.0,6369934
JPM,2025-05-07,249.85,249.39,252.45,248.83,8724267
JPM,2025-05-08,251.57,253.47,255.88,251.55,8320118
JPM,2025-05-09,254.5,253.08,255.51,252.34,5087639
JPM,2025-05-12,262.9,260.05,263.6,258.7,9603892
JPM,2025-05-13,261.03,263.01,263.67,260.39,8588961
JPM,2025-05-14,263.0,265.64,266.64,262.29,8643060
JPM,2025-05-15,266.97,267.49,269.52,264.76,9214641
JPM,2025-05-16,267.5,267.56,268.46,264.71,8932912
JPM,2025-05-19,265.55,264.88,268.32,261.93,12145045
JPM,2025-05-20,262.52,265.68,266.66,262.3,8436337
JPM,2025-05-21,264.35,261.04,265.65,260.73,7464045
JPM,2025-05-22,259.44,260.67,262.3,258.87,6514113
JPM,2025-05-23,256.81,260.71,261.99,256.0,6671841
JPM,2025-05-27,262.04,265.29,265.3,261.99,7506555
JPM,2025-05-28,266.24,263.49,266.72,262.9,5535408
JPM,2025-05-29,264.8,264.37,265.41,262.53,5081992
JPM,2025-05-30,263.45,264.0,265.33,262.73,10977662
JPM,2025-06-02,263.02,264.66,265.03,261.9,6011165
JPM,2025-06-03,263.73,266.27,266.58,262.88,6998383
JPM,2025-06-04,265.92,264.22,267.12,264.18,5915710
JPM,2025-06-05,264.74,261.95,264.74,260.31,8179258
JPM,2025-06-06,264.33,265.73,266.65,264.26,7738134
JPM,2025-06-09,266.0,266.74,267.9,263.35,8285364
JPM,2025-06-10,265.88,268.6,268.9,265.85,7538135
JPM,2025-06-11,268.68,268.15,269.62,265.79,7434064
JPM,2025-06-12,266.86,268.24,268.29,265.14,6618026
JPM,2025-06-13,265.08,264.95,267.02,262.71,7098265
V,2025-05-05,347.0,348.64,351.05,346.12,3865342
V,2025-05-06,346.4,347.7,349.65,345.76,3438464
V,2025-05-07,348.7,349.85,351.15,347.21,5454135
V,2025-05-08,352.0,351.27,355.33,350.94,4156386
V,2025-05-09,351.83,352.54,353.8,350.67,3086734
V,2025-05-12,359.14,355.85,361.89,351.13,7985428
V,2025-05-13,355.52,356.14,358.87,354.58,5406243
V,2025-05-14,356.67,356.46,358.41,355.21,6208010
V,2025-05-15,356.89,362.3,363.73,356.68,5826126
V,2025-05-16,362.95,365.12,366.19,360.89,5838075
V,2025-05-19,363.02,367.9,369.15,362.32,5081519
V,2025-05-20,367.78,366.84,368.25,364.69,5281778
V,2025-05-21,363.72,358.3,365.99,358.08,6125536
V,2025-05-22,357.76,357.97,360.0,356.56,4936568
V,2025-05-23,353.74,353.54,356.0,352.22,5346050
V,2025-05-27,355.41,359.3,360.0,354.48,6316301
V,2025-05-28,359.34,359.73,360.91,358.04,3299041
V,2025-05-29,360.35,362.4,363.04,358.72,4590972
V,2025-05-30,361.35,365.19,367.04,361.35,8726858
V,2025-06-02,362.77,365.32,365.46,359.96,3845997
V,2025-06-03,364.58,365.86,366.88,361.5,5221424
V,2025-06-04,366.71,368.0,369.66,366.31,4202306
V,2025-06-05,370.0,366.77,371.0,365.93,6884638
V,2025-06-06,369.01,370.22,371.0,367.55,5008493
V,2025-06-09,369.79,366.66,369.79,362.05,5000275
V,2025-06-10,367.0,370.7,371.44,366.68,4109266
V,2025-06-11,370.0,373.31,375.51,369.38,5562874
V,2025-06-12,372.23,371.4,374.17,369.54,4874007
V,2025-06-13,361.5,352.85,363.01,345.0,14181686
BAC,2025-05-05,40.85,41.12,41.49,40.62,32829236
BAC,2025-05-06,40.65,40.84,41.27,40.56,29541838
BAC,2025-05-07,41.04,40.93,41.34,40.86,30928612
BAC,2025-05-08,41.28,41.6,42.15,41.25,41861747
BAC,2025-05-09,41.73,41.79,41.98,41.69,27222761
BAC,2025-05-12,43.32,43.36,43.96,42.94,44875064
BAC,2025-05-13,43.42,44.28,44.48,43.42,43232541
BAC,2025-05-14,44.19,44.74,44.92,44.13,42419547
BAC,2025-05-15,44.6,44.38,44.98,44.01,47379372
BAC,2025-05-16,44.34,44.69,44.79,43.66,49488135
BAC,2025-05-19,44.11,44.77,45.14,44.11,37915717
BAC,2025-05-20,44.59,44.69,44.91,44.41,33424251
BAC,2025-05-21,44.37,43.25,44.49,43.14,55594058
BAC,2025-05-22,43.18,43.31,43.57,42.96,29026187
BAC,2025-05-23,42.48,43.2,43.43,42.35,34875060
BAC,2025-05-27,43.79,44.22,44.22,43.3,36322007
BAC,2025-05-28,44.21,44.06,44.44,43.96,35673753
BAC,2025-05-29,44.37,44.24,44.46,43.9,28553008
BAC,2025-05-30,44.19,44.13,44.3,43.72,66537474
BAC,2025-06-02,43.88,44.08,44.15,43.36,28582598
BAC,2025-06-03,44.01,44.65,44.73,43.94,31320154
BAC,2025-06-04,44.6,44.36,45.09,44.34,30591708
BAC,2025-06-05,44.45,44.38,44.58,44.01,32036157
BAC,2025-06-06,44.69,44.97,45.16,44.64,37013001
BAC,2025-06-09,45.11,44.87,45.4,44.78,32414025
BAC,2025-06-10,44.8,45.09,45.2,44.75,32229081
BAC,2025-06-11,45.2,44.73,45.41,44.55,47873455
BAC,2025-06-12,44.4,44.62,44.65,44.02,30165422
BAC,2025-06-13,44.0,44.09,44.46,43.66,43281740
MA,2025-05-05,557.81,561.12,564.55,555.85,2131042
MA,2025-05-06,556.48,558.99,565.74,556.1,2341849
MA,2025-05-07,559.27,566.33,567.23,558.49,2493897
MA,2025-05-08,569.45,567.12,573.87,567.0,2004336
MA,2025-05-09,567.45,568.64,569.58,564.6,1528128
MA,2025-05-12,580.0,578.27,580.79,566.43,3000439
MA,2025-05-13,578.0,576.59,582.86,575.8,2370233
MA,2025-05-14,578.27,573.28,578.64,572.28,2237681
MA,2025-05-15,574.13,582.2,583.04,573.65,2034253
MA,2025-05-16,580.43,583.28,584.28,580.43,2225883
MA,2025-05-19,581.02,586.41,588.45,580.48,1875629
MA,2025-05-20,581.24,581.11,583.99,576.84,1964340
MA,2025-05-21,576.46,569.54,579.0,567.1,2505290
MA,2025-05-22,568.66,570.14,573.16,566.93,1869858
MA,2025-05-23,564.49,563.58,567.55,562.51,1948806
MA,2025-05-27,566.82,574.55,574.56,566.49,2655236
MA,2025-05-28,574.58,575.92,578.84,572.94,1702931
MA,2025-05-29,575.88,577.78,578.58,572.94,1347855
MA,2025-05-30,576.78,585.6,585.6,576.51,4581210
MA,2025-06-02,580.5,581.22,581.82,574.78,2089236
MA,2025-06-03,579.87,581.97,582.53,573.44,2116891
MA,2025-06-04,584.17,584.13,586.85,582.22,1530210
MA,2025-06-05,586.31,585.44,586.69,582.63,1480192
MA,2025-06-06,587.91,590.12,591.16,586.04,1528700
MA,2025-06-09,588.74,584.33,590.0,580.0,1936070
MA,2025-06-10,584.65,589.54,589.87,583.16,2133984
MA,2025-06-11,590.32,590.74,594.71,587.6,2238225
MA,2025-06-12,589.43,589.28,590.67,584.56,1984130
MA,2025-06-13,572.86,562.03,575.24,552.51,5905376
WFC,2025-05-05,73.35,73.85,74.89,73.04,16070390
WFC,2025-05-06,73.14,73.48,74.19,72.56,18095111
WFC,2025-05-07,73.6,73.18,74.3,72.98,14310348
WFC,2025-05-08,73.68,73.31,73.98,72.63,19957459
WFC,2025-05-09,73.14,72.45,73.24,72.03,11137041
WFC,2025-05-12,74.99,74.88,75.25,74.07,20425541
WFC,2025-05-13,75.44,75.99,76.58,74.96,13635074
WFC,2025-05-14,76.24,76.28,76.49,75.83,14067098
WFC,2025-05-15,76.06,75.59,76.52,75.32,15303909
WFC,2025-05-16,75.56,76.18,76.35,75.37,13864562
WFC,2025-05-19,75.6,76.06,76.41,75.43,12720458
WFC,2025-05-20,75.48,75.52,75.87,75.07,10655614
WFC,2025-05-21,74.94,73.19,75.13,73.09,17711288
WFC,2025-05-22,73.14,73.39,73.89,72.48,9716997
WFC,2025-05-23,71.9,72.83,73.19,71.9,9260881
WFC,2025-05-27,73.6,73.99,74.09,73.05,11014073
WFC,2025-05-28,74.2,73.73,74.36,73.33,8711110
WFC,2025-05-29,74.41,74.51,75.08,73.33,14022053
WFC,2025-05-30,74.2,74.78,74.8,73.73,17041969
WFC,2025-06-02,74.26,74.72,74.75,73.26,11237467
WFC,2025-06-03,74.72,75.65,75.83,74.37,13193503
WFC,2025-06-04,77.7,75.38,78.8,75.38,29577980
WFC,2025-06-05,75.61,74.9,75.76,74.18,20148718
WFC,2025-06-06,76.15,76.33,76.76,75.83,10988023
WFC,2025-06-09,76.55,76.46,76.7,75.93,13453151
WFC,2025-06-10,76.16,75.45,76.35,75.13,14892891
WFC,2025-06-11,75.54,74.93,75.72,74.57,16442377
WFC,2025-06-12,74.33,74.01,74.52,73.17,14522493
WFC,2025-06-13,72.92,72.36,73.79,71.93,21168334
GS,2025-05-05,558.36,559.56,566.56,557.5,2197371
GS,2025-05-06,549.6,549.36,557.44,547.06,2902491
GS,2025-05-07,550.21,551.92,555.38,547.74,1955077
GS,2025-05-08,558.82,565.7,572.16,558.21,1994630
GS,2025-05-09,570.25,567.1,572.1,565.78,1522728
GS,2025-05-12,596.26,591.34,603.37,588.08,3527740
GS,2025-05-13,593.3,603.81,607.71,593.06,2765786
GS,2025-05-14,603.8,611.6,615.0,602.5,2874409
GS,2025-05-15,609.73,615.9,619.21,609.73,2428097
GS,2025-05-16,616.95,619.03,620.79,613.56,2021766
GS,2025-05-19,609.19,612.3,619.38,598.34,2842072
GS,2025-05-20,607.75,606.52,611.55,603.01,1602046
GS,2025-05-21,601.8,593.46,609.86,592.0,2635920
GS,2025-05-22,592.55,598.23,602.2,592.5,1939565
GS,2025-05-23,585.0,598.54,601.96,582.5,1530625
GS,2025-05-27,605.9,615.73,617.67,604.95,2364692
GS,2025-05-28,617.28,608.44,618.63,607.31,2001916
GS,2025-05-29,608.52,604.86,610.0,598.3,1736459
