ticker,time,open,close,high,low,volume
SPX,2025-04-04,5292.14,5074.08,5292.14,5069.9,6052894256
SPX,2025-04-07,4953.79,5062.25,5246.57,4835.04,6239428293
SPX,2025-04-08,5193.57,4982.77,5267.47,4910.42,5074219157
SPX,2025-04-09,4965.28,5456.9,5481.34,4948.43,6666213104
SPX,2025-04-10,5353.15,5268.05,5353.15,5115.27,4796067908
LLY,2025-04-04,762.11,738.21,768.27,734.7,5299446
LLY,2025-04-07,697.93,723.73,748.0,677.09,6274432
LLY,2025-04-08,754.98,726.24,763.5,713.28,4115191
LLY,2025-04-09,704.4,753.71,754.83,689.0,6618978
LLY,2025-04-10,738.9,720.91,741.95,691.76,4182699
UNH,2025-04-04,540.64,525.05,551.74,524.84,9918989
UNH,2025-04-07,513.4,524.7,529.2,503.59,7356702
UNH,2025-04-08,582.17,553.08,585.01,547.46,11762283
UNH,2025-04-09,560.14,578.5,589.4,554.46,12691858
UNH,2025-04-10,580.24,594.4,601.88,580.0,8645986
JNJ,2025-04-04,159.16,153.24,159.82,152.93,16601728
JNJ,2025-04-07,151.28,150.62,152.71,147.4,18083040
JNJ,2025-04-08,153.59,150.0,153.59,148.0,12018391
JNJ,2025-04-09,142.2,150.97,153.19,141.5,18773742
JNJ,2025-04-10,150.37,148.69,151.2,145.13,13701387
MRK,2025-04-04,86.12,81.47,86.27,81.08,22965747
MRK,2025-04-07,81.01,81.18,83.21,79.3,26581980
MRK,2025-04-08,83.21,78.95,83.27,77.54,20571573
MRK,2025-04-09,76.76,81.91,81.99,76.0,22928259
MRK,2025-04-10,80.61,77.55,81.12,75.96,19229442
ABBV,2025-04-04,200.0,186.96,200.0,186.17,13505194
ABBV,2025-04-07,181.03,186.55,188.2,176.28,12581054
ABBV,2025-04-08,187.6,175.67,188.39,172.32,12517111
ABBV,2025-04-09,168.3,179.84,180.6,164.39,18977764
ABBV,2025-04-10,177.75,174.2,178.0,164.96,13969950
TMO,2025-04-04,461.49,437.91,464.11,437.22,3894567
TMO,2025-04-07,417.77,437.87,453.34,411.21,4076253
TMO,2025-04-08,451.16,419.31,454.13,413.33,3929632
TMO,2025-04-09,414.63,453.55,455.02,409.85,4597679
TMO,2025-04-10,446.4,427.44,448.6,415.31,3902369
DHR,2025-04-04,195.46,181.77,195.46,181.2,7117814
DHR,2025-04-07,176.42,180.62,187.35,171.92,8557888
DHR,2025-04-08,185.04,174.64,186.5,171.87,5664485
DHR,2025-04-09,172.06,191.89,192.86,171.0,8180435
DHR,2025-04-10,192.45,180.76,192.45,175.51,6293496
ABT,2025-04-04,131.23,124.44,132.4,124.0,10776860
ABT,2025-04-07,122.29,124.86,126.5,120.47,10371338
ABT,2025-04-08,127.07,123.95,127.96,122.06,9880098
ABT,2025-04-09,121.62,127.04,127.76,120.85,10179195
ABT,2025-04-10,126.0,124.5,126.82,122.02,11089353
AMGN,2025-04-04,312.11,294.39,312.11,293.72,5253288
AMGN,2025-04-07,287.69,289.69,296.94,281.7,4922983
AMGN,2025-04-08,289.25,280.26,294.01,277.51,4092130
AMGN,2025-04-09,268.91,291.09,291.5,267.4,6055689
AMGN,2025-04-10,287.98,281.41,288.52,269.67,4673213
