ticker,time,open,close,high,low,volume
SPX,2025-05-02,5645.88,5686.67,5700.7,5642.28,3010089578
SPX,2025-05-05,5655.32,5650.38,5683.38,5634.48,2693789287
SPX,2025-05-06,5605.87,5606.91,5649.58,5586.04,2767164782
SPX,2025-05-07,5614.18,5631.28,5654.73,5578.64,3197894396
SPX,2025-05-08,5663.6,5663.94,5720.1,5635.38,3208687019
SPX,2025-05-09,5679.65,5659.91,5691.69,5644.15,2429494619
PLD,2025-05-02,105.17,105.41,105.92,104.4,4193985
PLD,2025-05-05,104.6,105.33,106.02,104.38,3246749
PLD,2025-05-06,104.72,104.5,105.51,103.6,6505324
PLD,2025-05-07,104.5,105.04,106.02,104.2,4741323
PLD,2025-05-08,105.17,105.49,106.43,103.45,3514547
PLD,2025-05-09,105.69,106.91,107.28,105.24,5506154
AMT,2025-05-02,225.53,223.6,225.98,221.19,2732560
AMT,2025-05-05,225.1,223.87,226.02,222.45,1832956
AMT,2025-05-06,224.31,223.81,225.62,222.36,1637069
AMT,2025-05-07,222.58,219.49,224.96,219.27,3571688
AMT,2025-05-08,218.94,217.88,219.9,217.55,3007593
AMT,2025-05-09,217.07,219.97,220.58,216.58,2499850
EQIX,2025-05-02,875.94,875.85,880.02,870.48,443371
EQIX,2025-05-05,879.11,883.21,887.95,872.94,377564
EQIX,2025-05-06,880.0,875.38,887.07,872.64,439195
EQIX,2025-05-07,873.43,872.48,881.64,869.7,576826
EQIX,2025-05-08,875.66,860.99,882.88,859.56,496204
EQIX,2025-05-09,850.0,864.39,869.0,837.37,225991
WELL,2025-05-02,152.04,150.72,153.19,149.81,2367889
WELL,2025-05-05,151.07,150.93,151.61,149.45,2688804
WELL,2025-05-06,150.49,150.5,151.47,149.5,2528194
WELL,2025-05-07,149.87,151.34,152.43,149.6,4334004
WELL,2025-05-08,151.31,148.25,152.04,148.06,2605041
WELL,2025-05-09,148.67,149.18,149.78,147.98,1764003
SPG,2025-05-02,161.12,161.77,162.43,159.76,1321274
SPG,2025-05-05,160.66,160.86,162.22,160.31,991165
SPG,2025-05-06,159.78,160.17,161.37,158.25,1139402
SPG,2025-05-07,160.88,161.47,163.53,160.57,1629356
SPG,2025-05-08,161.9,163.01,164.37,160.34,1386997
SPG,2025-05-09,163.35,163.19,165.09,162.5,1612151
PSA,2025-05-02,304.31,300.15,304.31,299.55,1290520
PSA,2025-05-05,300.0,300.34,302.14,297.23,861399
PSA,2025-05-06,298.15,297.98,301.16,295.54,647259
PSA,2025-05-07,298.04,299.9,301.38,297.59,991063
PSA,2025-05-08,299.21,300.7,302.97,297.7,734675
PSA,2025-05-09,299.96,304.07,304.88,299.5,460127
DLR,2025-05-02,164.34,164.55,165.27,163.43,1510673
DLR,2025-05-05,164.14,166.64,167.72,164.14,1497866
DLR,2025-05-06,164.86,166.63,167.49,164.82,1602084
DLR,2025-05-07,166.41,167.18,168.1,166.07,2016806
DLR,2025-05-08,169.17,166.7,169.99,166.65,1679391
DLR,2025-05-09,166.75,166.57,167.42,166.22,1399343
O,2025-05-02,57.6,56.96,57.7,56.79,4292747
O,2025-05-05,56.96,56.94,57.35,56.75,4392834
O,2025-05-06,56.88,56.79,57.55,56.37,5650193
O,2025-05-07,56.8,56.74,57.23,56.58,6822854
O,2025-05-08,56.7,56.25,56.81,56.2,4858630
O,2025-05-09,56.21,56.69,56.88,55.9,3634766
CCI,2025-05-02,106.8,106.87,107.3,105.88,3524692
CCI,2025-05-05,107.46,106.98,107.65,105.82,2708682
CCI,2025-05-06,106.77,106.42,107.27,105.93,2818041
CCI,2025-05-07,105.56,104.75,106.96,104.04,5265222
CCI,2025-05-08,104.55,103.28,105.08,103.19,2933576
CCI,2025-05-09,103.57,105.0,105.54,102.97,3043459
EXR,2025-05-02,150.76,149.56,151.58,148.87,838078
EXR,2025-05-05,149.23,149.38,150.32,148.15,833046
EXR,2025-05-06,148.13,147.22,149.18,147.12,654877
EXR,2025-05-07,147.37,147.23,149.0,146.87,995993
EXR,2025-05-08,147.52,147.43,148.98,145.68,925167
EXR,2025-05-09,147.55,148.42,149.43,147.55,522260
