ticker,time,open,close,high,low,volume
VNINDEX,2025-06-02,1332.6,1336.3,1336.33,1322.95,860775405
VNINDEX,2025-06-03,1336.3,1347.25,1350.89,1336.3,1035220959
VNINDEX,2025-06-04,1347.25,1345.74,1351.14,1341.53,952672647
VNINDEX,2025-06-05,1345.74,1342.09,1347.49,1336.11,756976552
VNINDEX,2025-06-06,1342.09,1329.89,1344.92,1325.45,901235898
VNINDEX,2025-06-09,1329.89,1310.57,1331.56,1309.05,718708721
VNINDEX,2025-06-10,1310.57,1316.23,1323.61,1299.94,703372014
VNINDEX,2025-06-11,1316.23,1315.2,1322.07,1306.25,546076606
VNINDEX,2025-06-12,1315.2,1322.99,1326.03,1308.63,811549322
VNINDEX,2025-06-13,1322.99,1315.49,1326.62,1304.12,1164364579
VGI,2025-06-02,67.2,67.8,68.1,67.0,317460
VGI,2025-06-03,67.4,68.0,68.4,67.4,261900
VGI,2025-06-04,68.1,69.3,69.4,68.1,604796
VGI,2025-06-05,69.3,71.2,71.5,69.3,849592
VGI,2025-06-06,71.2,70.8,73.3,70.6,732067
VGI,2025-06-09,70.9,69.4,71.0,69.0,442814
VGI,2025-06-10,69.8,71.7,73.0,69.0,912124
VGI,2025-06-11,71.9,76.0,77.6,71.3,2024648
VGI,2025-06-12,76.2,74.9,77.8,74.0,752484
VGI,2025-06-13,74.9,72.2,75.1,71.1,1319879
FOX,2025-06-02,61.6,61.67,61.67,60.87,60772
FOX,2025-06-03,61.67,61.47,61.8,61.34,144200
FOX,2025-06-04,61.47,62.4,63.2,61.47,205557
FOX,2025-06-05,62.4,62.67,62.8,62.2,213396
FOX,2025-06-06,62.67,62.2,63.0,62.2,253381
FOX,2025-06-09,64.0,62.9,65.0,62.5,171191
FOX,2025-06-10,62.9,62.9,63.1,62.7,67055
FOX,2025-06-11,63.0,64.9,66.0,62.7,169772
FOX,2025-06-12,65.0,64.5,65.5,64.5,40565
FOX,2025-06-13,64.8,63.4,64.8,63.0,96524
VEF,2025-06-02,180.26,176.92,180.26,174.07,21761
VEF,2025-06-03,185.89,188.74,189.96,179.37,84800
VEF,2025-06-04,191.6,195.51,199.75,191.43,82274
VEF,2025-06-05,196.9,192.74,196.9,191.35,20744
VEF,2025-06-06,193.96,191.76,195.51,191.6,26829
VEF,2025-06-09,193.96,191.6,194.45,191.6,42148
VEF,2025-06-10,192.9,192.25,193.06,191.27,25995
VEF,2025-06-11,193.23,192.08,193.23,191.6,30944
VEF,2025-06-12,200.0,183.3,200.0,182.0,40694
VEF,2025-06-13,182.0,175.9,183.3,172.0,43149
VNZ,2025-06-02,349.0,340.1,349.0,340.1,4284
VNZ,2025-06-03,345.0,346.0,346.0,344.0,1800
VNZ,2025-06-04,345.0,349.0,349.0,345.0,1900
VNZ,2025-06-05,348.2,348.2,348.2,348.2,193
VNZ,2025-06-06,345.0,343.0,349.0,341.1,1333
VNZ,2025-06-09,345.0,345.0,345.0,345.0,131
VNZ,2025-06-10,340.1,340.0,340.1,340.0,1650
VNZ,2025-06-11,341.0,341.0,341.0,340.0,642
VNZ,2025-06-12,345.0,348.8,349.0,345.0,611
VNZ,2025-06-13,339.0,347.8,347.8,339.0,7249
