ticker,time,open,close,high,low,volume
VNINDEX,2025-06-27,1365.67,1371.44,1373.28,1362.09,678584222
VNINDEX,2025-06-30,1371.44,1376.07,1377.3,1371.44,637621732
VNINDEX,2025-07-01,1376.07,1377.84,1382.16,1369.74,725894731
VNINDEX,2025-07-02,1377.84,1384.59,1384.72,1372.27,850174592
VNINDEX,2025-07-03,1384.59,1381.96,1392.39,1377.06,1316396602
VNINDEX,2025-07-04,1381.96,1386.97,1388.04,1379.4,835995342
VGC,2025-06-27,45.5,45.3,45.9,44.9,552073
VGC,2025-06-30,45.2,44.95,46.0,44.8,530541
VGC,2025-07-01,45.2,45.1,46.3,44.9,1227943
VGC,2025-07-02,45.4,46.5,46.95,45.1,1665236
VGC,2025-07-03,45.8,44.6,45.95,44.35,1794353
VGC,2025-07-04,44.75,44.3,44.85,44.15,970277
HUT,2025-06-27,12.6,12.5,12.7,12.5,1033220
HUT,2025-06-30,12.5,12.9,13.0,12.5,682286
HUT,2025-07-01,12.9,12.7,13.0,12.5,987675
HUT,2025-07-02,12.6,12.7,12.8,12.6,427247
HUT,2025-07-03,12.2,12.6,12.9,12.0,1014541
HUT,2025-07-04,12.7,13.0,13.5,12.7,2190312
CTR,2025-06-27,97.9,102.3,102.4,97.9,1514093
CTR,2025-06-30,105.0,102.8,105.0,102.3,570227
CTR,2025-07-01,102.6,102.0,102.9,100.7,462998
CTR,2025-07-02,102.3,100.6,102.3,99.7,750276
CTR,2025-07-03,101.8,100.5,101.8,99.1,484513
CTR,2025-07-04,100.5,101.7,103.0,100.5,485438
VCG,2025-06-27,21.95,22.0,22.15,21.9,13565686
VCG,2025-06-30,22.05,22.05,22.3,21.85,6431115
VCG,2025-07-01,23.25,23.05,23.5,22.8,25248753
VCG,2025-07-02,23.0,22.7,23.05,22.6,8882223
VCG,2025-07-03,22.7,23.0,23.4,22.6,14700654
VCG,2025-07-04,23.25,22.85,23.5,22.7,9557550
VCS,2025-06-27,47.7,48.2,48.6,47.4,201275
VCS,2025-06-30,48.2,48.2,48.5,48.0,126411
VCS,2025-07-01,48.2,47.7,48.5,47.6,127833
VCS,2025-07-02,47.7,49.1,50.0,47.6,306292
VCS,2025-07-03,49.0,49.7,54.0,48.5,463740
VCS,2025-07-04,49.7,49.1,50.7,48.8,205059
BMP,2025-06-27,139.1,139.0,139.1,138.0,62397
BMP,2025-06-30,139.1,140.3,140.8,138.9,157392
BMP,2025-07-01,140.3,140.4,140.8,138.6,126488
BMP,2025-07-02,140.4,140.9,141.5,138.7,110198
BMP,2025-07-03,140.0,139.4,141.7,139.4,103227
BMP,2025-07-04,140.7,139.0,140.8,138.7,93275
PC1,2025-06-27,21.85,21.9,22.1,21.85,1616712
PC1,2025-06-30,22.0,21.9,22.0,21.8,1386617
PC1,2025-07-01,21.9,21.7,22.2,21.7,1948049
PC1,2025-07-02,21.7,21.8,21.9,21.65,1425418
PC1,2025-07-03,21.6,21.75,22.0,21.6,2290723
PC1,2025-07-04,21.85,21.85,21.9,21.7,1479796
CTD,2025-06-27,84.4,84.0,84.9,83.8,716994
CTD,2025-06-30,84.8,85.5,86.9,84.3,1586411
CTD,2025-07-01,86.0,84.8,86.8,84.5,1051607
CTD,2025-07-02,84.7,84.3,84.7,83.7,895406
CTD,2025-07-03,84.0,83.2,85.2,82.2,1451876
CTD,2025-07-04,84.0,84.2,84.2,82.8,862662
SCG,2025-06-27,66.0,66.3,66.3,65.9,31129
SCG,2025-06-30,66.1,66.1,66.4,66.1,33700
SCG,2025-07-01,66.0,65.5,66.1,65.5,32000
SCG,2025-07-02,65.5,65.3,65.5,65.1,28201
SCG,2025-07-03,65.3,64.8,65.3,64.8,28704
SCG,2025-07-04,64.9,64.5,65.0,64.3,29101
HHV,2025-06-27,12.45,12.35,12.5,12.35,4695475
HHV,2025-06-30,12.4,12.35,12.45,12.3,4612947
HHV,2025-07-01,12.55,12.45,12.85,12.45,13468371
HHV,2025-07-02,12.4,12.4,12.55,12.35,6053092
HHV,2025-07-03,12.45,12.4,12.6,12.35,10421405
HHV,2025-07-04,12.45,12.5,12.55,12.4,7392407
CII,2025-06-27,15.05,14.8,15.15,14.8,9747216
CII,2025-06-30,14.9,14.75,15.1,14.75,11230297
CII,2025-07-01,14.85,14.7,15.1,14.65,11386724
CII,2025-07-02,14.7,14.9,14.95,14.6,9383778
CII,2025-07-03,14.9,14.9,15.3,14.8,27252241
CII,2025-07-04,14.95,15.05,15.25,14.95,15759622
