ticker,time,open,close,high,low,volume
VNINDEX,2025-07-01,1376.07,1377.84,1382.16,1369.74,725894731
VNINDEX,2025-07-02,1377.84,1384.59,1384.72,1372.27,850174592
VNINDEX,2025-07-03,1384.59,1381.96,1392.39,1377.06,1316396602
VNINDEX,2025-07-04,1381.96,1386.97,1388.04,1379.4,835995342
VNINDEX,2025-07-07,1386.97,1402.06,1402.32,1386.97,1231774285
VNINDEX,2025-07-08,1407.07,1410.64,1411.22,1406.99,76518474
DHG,2025-07-01,99.7,99.5,99.8,99.5,8479
DHG,2025-07-02,99.5,100.7,100.9,99.5,50350
DHG,2025-07-03,100.9,100.7,101.8,100.7,28452
DHG,2025-07-04,100.8,100.7,101.3,100.1,9911
DHG,2025-07-07,100.7,100.9,101.0,100.5,14401
DHG,2025-07-08,100.9,101.4,101.4,100.9,2600
IMP,2025-07-01,51.2,51.6,51.6,51.2,70997
IMP,2025-07-02,52.0,52.0,54.0,51.9,282695
IMP,2025-07-03,52.0,51.6,52.8,51.4,121300
IMP,2025-07-04,51.9,52.0,52.0,51.3,95176
IMP,2025-07-07,52.3,52.0,52.8,51.8,94114
IMP,2025-07-08,52.0,52.0,52.0,52.0,1900
DVN,2025-07-01,23.5,23.4,23.5,23.3,44902
DVN,2025-07-02,23.4,23.4,23.4,23.1,47803
DVN,2025-07-03,23.4,23.7,23.7,23.2,110079
DVN,2025-07-04,23.5,23.7,23.7,23.4,21826
DVN,2025-07-07,23.7,23.6,23.7,23.3,48701
DVN,2025-07-08,23.4,23.4,23.4,23.4,4400
DBD,2025-07-01,53.9,54.2,54.2,53.4,190594
DBD,2025-07-02,54.2,54.3,54.8,53.8,100811
DBD,2025-07-03,53.5,54.5,54.5,53.5,198653
DBD,2025-07-04,54.6,54.5,54.6,53.9,53050
DBD,2025-07-07,54.5,54.3,54.5,54.0,92177
DBD,2025-07-08,54.0,54.3,54.3,53.9,4500
